match_id,card_type,player_name, minute
match65,Yellow,Rubén Pérez del Mármol,94
match65,Yellow,Iván Cuéllar,87
match65,Yellow,Unai Bustinza,38
match65,Yellow,Youssef En-Nesyri,3
match66,Yellow,David Ferreiro,87
match66,Yellow,Bernardo Espinosa,70
match66,Yellow,Damián Musto,45
match66,Yellow,Cristhian Stuani,39
match66,Yellow,Chimy Ávila,28
match67,Yellow,José Campaña,94
match67,Yellow,Antonio García Aranda,94
match67,Yellow,José Manuel Rodríguez Benito,92
match67,Yellow,Rubén Sobrino,86
match67,Yellow,José Luis Morales Nogales,85
match67,Yellow,Rubén Rochina,80
match67,Yellow,Sanjin Prcić,73
match67,Yellow,Jason Remeseiro,47
match68,Yellow,Nacho Martínez García,85
match68,Yellow,Kiko Olivas,82
match68,Yellow,Santi Cazorla,60
match68,Yellow,Carlos Bacca,45
match68,Yellow,Duje Čop,36
match68,Yellow,Mario Gaspar,35
match69,Yellow,Hugo Mallo,91
match69,Yellow,Iago Aspas,82
match69,Yellow,Francisco Portillo Soler,82
match69,Yellow,Bruno González,20
match70,Yellow,Jon Bautista,92
match70,Yellow,Asier Illarramendi,83
match70,Yellow,David Zurutuza,70
match70,Yellow,Raúl García Escudero,67
match70,Yellow,Miguel Ángel Moyá,57
match70,Yellow,Dani García,39
match70,Yellow,Igor Zubeldia,38
match70,Yellow,Iñaki Williams,31
match70,Yellow,Iñigo Martínez,29
match70,Yellow,Markel Susaeta,26
match70,Yellow,Óscar de Marcos,19
match71,Yellow,Wakaso Mubarak,54
match72,Yellow,Damián Suárez,93
match72,Yellow,Robert Ibáñez,92
match72,Red,Francisco Portillo Soler,91
match72,Yellow,Rubén Rochina,90
match72,Yellow,Róber Pier,42
match72,Yellow,Jason Remeseiro,33
match72,Yellow,Sanjin Prcić,31
match72,Yellow,Vitorino Antunes,26
match72,Yellow,Emmanuel Boateng,22
match72,Yellow,Djené Dakonam Ortega,13
match73,Yellow,Paulo Oliveira,61
match73,Yellow,Anaitz Arbilla Zabala,59
match73,Yellow,Asier Riesgo,45
match73,Yellow,Pape Diop,41
match73,Yellow,Joan Jordán,34
match73,Yellow,José Ángel Valdés,20
match73,Yellow,Portu,15
match73,Yellow,Aday Benítez,11
match73,Yellow,Juanpe Ramírez,6
match74,Red,Álvaro Medrán,82
match74,Yellow,Abdoulaye Ba,80
match74,Yellow,Adrián Embarba,55
match74,Yellow,Óscar Rodríguez Arnaiz,43
match74,Yellow,Álvaro Medrán,43
match75,Yellow,Sergio Canales,93
match75,Yellow,Lucas Hernández,88
match75,Yellow,Marc Bartra,85
match75,Yellow,Saúl Ñíguez,78
match75,Yellow,Filipe Luís,77
match75,Yellow,Diego Godín,58
match75,Yellow,Juanfran Torres,47
match75,Yellow,Junior Firpo,41
match76,Yellow,Sergi Darder,90
match76,Yellow,Ramiro Funes Mori,47
match76,Yellow,Mario Hermoso,48
match76,Yellow,Miguel Llambrich,33
match76,Yellow,David López Silva,5
match77,Yellow,Gustavo Cabral,92
match77,Yellow,Guilherme Arana,89
match77,Red,Néstor Araujo,58
match77,Yellow,Daniel Carriço,56
match77,Yellow,Néstor Araujo,56
match77,Yellow,Facundo Roncaglia,52
match77,Yellow,Éver Banega,17
match78,Yellow,Dani Parejo,58
match78,Yellow,Philippe Coutinho,58
match78,Yellow,Carlos Soler,43
match78,Yellow,Luis Suárez,41
match79,Yellow,Rúben Semedo,27
match79,Yellow,Serdar Gürler,13
match79,Yellow,Míchel Herrero,6
match80,Yellow,Andrew Hjulsager,91
match80,Yellow,Tomás Pina,88
match80,Yellow,Jonathan Calleri,64
match80,Yellow,Gustavo Cabral,58
match80,Yellow,Víctor Laguardia,11
match81,Yellow,Tomáš Vaclík,62
match82,Yellow,Marcelo Vieira,94
match82,Yellow,Jason Remeseiro,89
match82,Yellow,Erick Cabaco,53
match83,Yellow,Dani Parejo,93
match83,Yellow,Gerard Gumbau,48
match83,Yellow,Óscar Rodríguez Arnaiz,33
match84,Yellow,Alfonso Pedraza,68
match84,Yellow,Álvaro González Soberón,44
match84,Yellow,Manuel Iturra,31
match84,Yellow,Juanfran Torres,28
match85,Yellow,Jordi Masip,85
match85,Yellow,Nacho Martínez García,59
match85,Yellow,Kiko Olivas,40
match85,Yellow,Antonio Jesús Regal Angulo,26
match86,Yellow,Raúl García Escudero,87
match86,Yellow,Sergi Enrich,75
match86,Yellow,Óscar de Marcos,65
match86,Yellow,Unai López,28
match86,Yellow,Fabián Orellana,23
match87,Yellow,Jorge Miramón,99
match87,Yellow,Dídac Vilà,73
match87,Yellow,Mario Hermoso,68
match87,Yellow,Chimy Ávila,67
match87,Yellow,Damián Musto,58
match87,Yellow,Esteban Granero,39
match88,Red,Óscar Trejo,93
match88,Yellow,Jordi Amat Maas,89
match88,Yellow,Óscar Trejo,86
match88,Yellow,Jaime Mata,84
match88,Yellow,Damián Suárez,81
match88,Yellow,Vitorino Antunes,77
match88,Yellow,Santiago Comesaña Veiga,77
match88,Yellow,Raúl de Tomás,75
match88,Yellow,Mauro Arambarri,47
match88,Yellow,Leandro Cabrera,24
match89,Yellow,Pedro Porro,81
match89,Yellow,Aritz Elustondo,72
match89,Yellow,Asier Illarramendi,53
match89,Yellow,Kevin Rodrigues,41
match90,Yellow,Giannelli Imbula,59
match90,Yellow,Raúl García Escudero,53
match91,Yellow,Óscar Plano,93
match91,Yellow,Dídac Vilà,75
match91,Yellow,Javier López Rodríguez,73
match91,Yellow,Míchel Herrero,63
match91,Yellow,Rubén Alcaraz,61
match91,Yellow,Kiko Olivas,47
match92,Yellow,José Luis Gayà,92
match92,Yellow,Yuri Berchiche,77
match92,Yellow,Daniel Wass,74
match92,Yellow,Michy Batshuayi,38
match92,Yellow,Carlos Soler,35
match92,Yellow,Ander Capa,20
match92,Yellow,Rúben Vezo,16
match93,Yellow,Stefan Savić,53
match93,Yellow,Koke Resurrección,49
match93,Yellow,Igor Zubeldia,44
match95,Red,Anthony Lozano,88
match95,Yellow,Alexandre Moreno,73
match95,Yellow,Douglas Luiz,72
match95,Yellow,Óscar Trejo,60
match95,Yellow,Alejandro Gálvez,33
match96,Yellow,Róber Pier,83
match96,Yellow,Kenneth Omeruo,70
match96,Yellow,José Campaña,61
match96,Yellow,Dimitrios Siovas,53
match97,Yellow,Rubén Duarte,73
match97,Yellow,Ramiro Funes Mori,27
match98,Yellow,Luis Suárez,77
match98,Yellow,Gareth Bale,53
match98,Yellow,Nacho Fernández Iglesias,39
match98,Yellow,Ivan Rakitić,38
match99,Yellow,Antonio Barragán,92
match99,Yellow,Giovani Lo Celso,49
match99,Yellow,Damián Suárez,38
match100,Yellow,Chimy Ávila,92
match100,Yellow,Guilherme Arana,61
match100,Yellow,Jorge Miramón,60
match100,Yellow,Daniel Carriço,49
match100,Yellow,Serdar Gürler,47
match101,Yellow,Michael Santos,93
match101,Yellow,Nikola Kalinić,90
match101,Yellow,Iván Cuéllar,85
match101,Yellow,Jonathan Silva,53
match101,Yellow,Lucas Hernández,29
match101,Yellow,Youssef En-Nesyri,13
match102,Yellow,Marco Asensio,45
match103,Yellow,Geoffrey Kondogbia,79
match103,Yellow,Gabriel Paulista,77
match103,Yellow,Bono,59
match103,Yellow,Carles Planas,40
match103,Yellow,Marc Muniesa,39
match103,Yellow,Francis Coquelin,36
match103,Yellow,Seydou Doumbia,30
match103,Yellow,José Luis Gayà,28
match104,Yellow,Emiliano Velázquez,92
match104,Yellow,Alberto García Cabrera,89
match104,Yellow,Jordi Alba,70
match104,Yellow,Raúl de Tomás,49
match104,Yellow,Clément Lenglet,17
match104,Yellow,Jordi Amat Maas,6
match105,Yellow,Okay Yokuşlu,82
match105,Yellow,Aissa Mandi,78
match105,Yellow,Junior Firpo,72
match105,Yellow,Sergio Canales,69
match105,Yellow,Joaquín,65
match105,Yellow,David Juncà Reñé,62
match106,Yellow,Pape Diop,88
match106,Yellow,Anaitz Arbilla Zabala,78
match106,Yellow,Fabián Orellana,73
match106,Red,Pablo De Blasis,62
match106,Yellow,Pablo De Blasis,61
match106,Red,Rubén Duarte,24
match107,Yellow,Djené Dakonam Ortega,94
match107,Yellow,Damián Suárez,85
match107,Yellow,Álex Gallar,85
match107,Yellow,Rúben Semedo,74
match107,Yellow,David Ferreiro,74
match107,Yellow,Damián Musto,59
match107,Yellow,Ángel,54
match107,Yellow,Jorge Miramón,23
match108,Yellow,Roque Mesa,92
match108,Yellow,Theo Hernández,85
match108,Yellow,Ibrahim Amadou,79
match108,Yellow,Jesús Navas,73
match109,Yellow,Álvaro González Soberón,94
match109,Yellow,Enis Bardhi,78
match109,Yellow,Santiago Cáseres,39
match109,Yellow,Rubén Rochina,37
match109,Yellow,Jason Remeseiro,31
match109,Yellow,Jaume Costa,30
match110,Yellow,Unai Nuñez,76
match110,Yellow,Esteban Granero,66
match110,Yellow,Dani García,48
match110,Yellow,Mikel San José,20
match111,Yellow,Oier Olazábal,88
match111,Yellow,José Campaña,76
match111,Yellow,Enis Bardhi,65
match111,Yellow,Asier Illarramendi,53
match111,Yellow,José Luis Morales Nogales,49
match111,Yellow,José Manuel Rodríguez Benito,24
match111,Yellow,Emmanuel Boateng,13
match112,Red,Yuri Berchiche,95
match112,Yellow,Yuri Berchiche,95
match112,Yellow,Iñigo Martínez,94
match112,Yellow,Ángel Correa,92
match112,Yellow,Óscar de Marcos,86
match112,Yellow,Mikel San José,82
match112,Yellow,Antonio Adán,66
match112,Yellow,Nikola Kalinić,66
match112,Yellow,Vitolo Machín,66
match112,Yellow,Beñat Etxebarria,49
match112,Yellow,Diego Costa,38
match113,Yellow,Ezequiel Garay,93
match113,Red,Bruno González,79
match113,Yellow,Bruno González,75
match113,Yellow,Francis Coquelin,56
match113,Yellow,José Luis Gayà,54
match113,Yellow,Vitorino Antunes,30
match114,Yellow,Guido Carrillo,91
match114,Yellow,Anthony Lozano,90
match114,Yellow,Dani Ojeda,71
match114,Yellow,Javier Eraso,69
match114,Yellow,Óscar Rodríguez Arnaiz,19
match115,Yellow,Pape Diop,87
match115,Yellow,Fernando Calero,81
match115,Red,Anaitz Arbilla Zabala,72
match115,Yellow,Rubén Peña Jiménez,63
match115,Yellow,Nacho Martínez García,41
match115,Yellow,Anaitz Arbilla Zabala,15
match116,Yellow,Juan Camilo Hernández Suárez,93
match116,Yellow,Carlos Akapo,76
match116,Yellow,Guillermo Maripán,74
match116,Yellow,Rubén Sobrino,73
match116,Yellow,Damián Musto,70
match116,Yellow,Rúben Semedo,47
match116,Yellow,Ximo Navarro Jiménez,46
match117,Red,Ivan Rakitić,81
match117,Yellow,Arturo Vidal,73
match117,Yellow,Aissa Mandi,69
match117,Yellow,Cristian Tello,67
match117,Yellow,Sergio Busquets,59
match117,Yellow,Ivan Rakitić,44
match117,Yellow,Andrés Guardado,24
match118,Red,Gustavo Cabral,87
match118,Yellow,Javier Sánchez de Felipe,53
match118,Yellow,David Juncà Reñé,44
match118,Yellow,Hugo Mallo,41
match118,Yellow,Gustavo Cabral,40
match118,Yellow,Sergio Reguilón,37
match119,Yellow,Sergio Escudero Palomo,88
match119,Yellow,Diego López Rodríguez,83
match119,Yellow,Gabriel Mercado,61
match119,Yellow,Esteban Granero,54
match119,Yellow,Daniel Carriço,18
match119,Yellow,Franco Vázquez,8
match120,Red,Álvaro González Soberón,92
match120,Yellow,Manu Trigueros,87
match120,Yellow,Álvaro González Soberón,61
match120,Yellow,Jordi Amat Maas,44
match121,Yellow,Borja Bastón,75
match121,Yellow,Martín Aguirregabiria,73
match121,Yellow,Allan Romeo Nyom,62
match121,Yellow,Darko Brašanac,52
match121,Yellow,Rubén Duarte,49
match121,Yellow,Óscar Rodríguez Arnaiz,15
match122,Yellow,Rafinha Alcántara,93
match122,Yellow,Filipe Luís,87
match122,Yellow,Rodri Hernández,86
match122,Yellow,Samuel Umtiti,71
match122,Yellow,Diego Costa,71
match122,Yellow,Antoine Griezmann,48
match122,Yellow,Lucas Hernández,39
match122,Yellow,Sergio Busquets,29
